Year,Month,Adelaide,Brisbane,Melbourne,Perth,Sydney,Total domestic network
2010,1,2067,5153,8925,3502,9138,33750
2010,2,2452,5938,10455,3904,10532,38744
2010,3,2704,6825,11591,4573,11934,43660
2010,4,2377,5921,10119,4246,10069,38035
2010,5,2482,6528,10609,4498,10765,40614
2010,6,2429,6325,10097,4286,10243,39059
2010,7,2640,6557,10701,4453,10470,41081
2010,8,2594,6710,10684,4421,10647,41052
2010,9,2673,6850,11076,4626,11016,42494
2010,10,2917,7407,11759,5485,12396,46398
2010,11,2730,7565,11823,5254,12759,46380
2010,12,2793,7725,11998,5050,12614,46940
2011,1,2068,6319,8942,3733,9760,36270
2011,2,2406,6289,9914,4062,10471,38661
2011,3,2708,7548,11652,4913,12177,45489
2011,4,2619,6150,9980,4371,11012,39600
2011,5,2630,7038,10985,4559,11758,43376
2011,6,2411,6502,9394,4458,10565,38994
2011,7,2696,6468,10073,4797,11234,41024
2011,8,2573,6803,10368,4882,11622,41897
2011,9,2528,6711,10249,4600,11261,41139
2011,10,2446,6860,9912,4915,11185,40611
2011,11,2549,7245,10726,5192,11794,42995
2011,12,2578,7161,10684,4998,11803,43128
2012,1,1928,5469,8259,3880,8633,32690
2012,2,2387,6440,9720,4552,10316,38454
2012,3,2450,6514,10268,4784,10510,40145
2012,4,2266,5673,8890,4224,9838,35555
2012,5,2747,6369,10462,4614,10545,40311
2012,6,2284,5338,8846,4175,9439,34933
2012,7,2599,5936,9743,4707,10483,38606
2012,8,2493,5753,9678,4490,10200,37499
2012,9,2403,5447,9356,4213,9803,35648
2012,10,2672,6241,10437,4690,10929,39793
2012,11,2493,6079,10169,4400,10876,38786
2012,12,2577,6066,10038,4490,10773,38660
2013,1,2056,4952,8373,3528,8447,31389
2013,2,2233,5331,8896,3863,9120,33684
2013,3,2327,5425,9204,3854,9506,34535
2013,4,2119,5128,8566,3496,8956,32242
2013,5,2224,5863,9695,3883,9897,36068
2013,6,2221,5253,8711,3736,9178,33262
2013,7,2169,5561,9135,3749,9463,34531
2013,8,2186,5354,8947,3768,9200,33754
2013,9,2286,5404,8828,3499,8964,33080
2013,10,2128,5312,8691,3564,8909,32763
2013,11,2497,5261,8904,3643,9549,34317
2013,12,2241,5491,8762,3735,9047,33703
2014,1,1815,4514,7362,3111,7298,27917
2014,2,1953,4963,8438,3637,8166,31074
2014,3,2176,5426,9075,4172,9182,34236
2014,4,1850,4867,8024,3755,8149,30501
2014,5,2155,5518,9371,4611,9165,35176
2014,6,2143,5318,8511,4057,8875,32928
2014,7,2131,5568,9649,4263,9321,35648
2014,8,2267,5464,9014,4053,9020,34036
2014,9,2155,5264,9333,4004,9162,34153
2014,10,2166,5195,9345,4303,8970,34201
2014,11,2513,5135,10092,4337,9534,35823
2014,12,2349,5428,9573,4203,8695,34736
2015,1,1721,3828,7092,3150,6076,25285
2015,2,1962,4236,7829,3738,7006,28531
2015,3,2185,4968,8498,4623,8387,32924
2015,4,1773,4411,7742,3736,7203,28534
2015,5,2190,4690,8783,4207,7841,31828
2015,6,1751,4162,8152,4098,7497,29271
2015,7,1796,4397,7985,4073,7304,29489
2015,8,2093,4254,8588,4182,7582,30420
2015,9,1666,4334,8278,4063,7699,29789
2015,10,1596,4196,8727,3945,8145,30294
2015,11,1795,4672,8825,4077,8593,31685
2015,12,2104,5026,9229,4565,8461,33436
2016,1,1799,4390,8649,4364,7335,30321
2016,2,1994,5489,10368,5060,8555,35898
2016,3,1953,5603,10499,5087,9035,36590
2016,4,1872,5063,9030,4603,7969,32800
2016,5,1868,5521,10017,4824,8444,35298
2016,6,1988,5096,10053,4693,8301,34233
2016,7,1921,5769,9683,4804,8683,35731
2016,8,2140,6009,10853,5200,9014,38479
2016,9,2134,5963,10575,4984,8725,37446
2016,10,2033,5735,10589,5008,8885,37577
2016,11,2462,5981,11657,5559,9433,40411
2016,12,2270,6246,11734,5658,9660,40863
2017,1,1958,4660,9943,4628,7911,33658
2017,2,2218,4997,10150,4786,8556,35236
2017,3,2372,5589,11625,5635,9503,39659
2017,4,1942,4989,9434,4869,7868,33300
2017,5,2318,5922,12350,5645,9731,41237
2017,6,2128,5561,10452,5204,8306,36380
2017,7,2273,5527,10302,5482,8208,36628
2017,8,2325,5813,11201,5719,8267,38472
2017,9,2005,5326,10627,5385,8546,36796
2017,10,2372,5709,11451,5578,9413,39577
2017,11,2419,6169,11942,5608,10081,41401
2017,12,2581,6220,12474,6034,9852,42440
2018,1,2118,5270,10387,4907,8159,35433
2018,2,2240,5614,11039,5335,8644,38028
2018,3,2371,6048,11905,5939,9248,40903
2018,4,2199,5318,10043,5131,8201,35355
2018,5,2469,6131,12140,5885,9414,41363
2018,6,1911,5513,10194,5092,8492,36037
2018,7,2279,6005,11142,5547,9275,39348
2018,8,2682,6809,11754,5812,9085,41589
2018,9,2414,6485,10841,5337,8719,38935
2018,10,2580,6944,11701,6420,10007,43283
2018,11,2551,6579,11358,5784,9310,42409
2018,12,2683,6382,10841,5818,8741,40804
2019,1,2324,5643,10478,5203,8175,37955
2019,2,2292,5256,9342,4823,7708,35652
2019,3,2376,6253,10535,5238,8422,39539
2019,4,2149,5690,9450,4843,7587,35733
2019,5,2544,6223,10904,5519,8947,41142
2019,6,2165,5867,9391,4972,7920,36436
2019,7,2473,6646,10733,5240,8738,40513
2019,8,2325,6078,9923,5041,8207,38055
2019,9,2245,5820,9686,4655,7909,36418
2019,10,2528,6448,10653,5247,8683,40388
2019,11,2387,6442,10398,5177,8796,39796
2019,12,2625,6645,10722,5563,9163,41166
2020,1,2233,5522,9016,4801,7405,34948
2020,2,2257,5770,9172,4556,7641,12355720
2020,3,2373,6102,9905,4622,8084,13722242
2020,4,1564,4457,7249,2286,4836,12951494
2020,5,1636,5020,7767,2448,5280,12996632
2020,6,1674,5734,8385,2627,6425,13688674
2020,7,1800,5782,7945,2612,6505,12754922
2020,8,1826,5376,6091,2301,6537,13048324
2020,9,1930,5883,8093,2596,7219,12724192
2020,10,1939,5287,7759,2550,7273,11692228
2020,11,2079,5914,8458,2717,7937,10064422
2020,12,2486,7422,11285,3954,9286,1054166
2021,1,1806,4710,7252,2442,6540,870294
2021,2,1948,5269,7506,2581,6915,1349604
2021,3,2241,6319,8706,3127,8808,2396244
2021,4,1834,4683,7216,2870,7314,2208652
2021,5,2017,5441,8151,3357,7854,2493134
2021,6,2006,5824,9218,3743,8082,3007556
2021,7,2031,5560,9480,3841,7477,3607952
2021,8,2128,5389,9635,3655,8399,6811320
2021,9,2328,5805,9635,3566,8654,5692388
2021,10,2273,5649,9046,3101,8270,5458828
2021,11,2696,7023,10222,3232,9770,8499404
2021,12,2601,6471,9386,3322,8746,10205032
2022,1,1982,4526,8326,2018,7475,10203070
2022,2,2275,6035,9116,3100,8387,7822966
2022,3,2592,5639,8281,2908,8040,34797
2022,4,1571,4888,6857,2657,6267,3231914
2022,5,1834,5134,7572,2725,6678,3677618
2022,6,1796,5308,7553,2887,6013,3934092
2022,7,1578,4725,7490,2992,6120,5215776
2022,8,1766,5340,8754,3217,7063,9062842
2022,9,1539,4869,7765,2908,6453,8815040
2022,10,1550,4825,7898,2877,6647,7158178
2022,11,1931,5660,8670,3389,7156,10077350
2022,12,2048,5413,8482,3552,6560,12274156
2023,1,1442,4387,6667,2725,5429,12097138
2023,2,1415,4517,6908,2655,5715,11656500
2023,3,1640,5170,7788,2976,6692,11647954
2023,4,1328,4076,6257,2531,5272,11401004
2023,5,1635,5495,8460,3082,6971,11239908
2023,6,1490,4979,7699,2870,6411,11666754
2023,7,1368,4827,7253,2775,6323,11436256
2023,8,1575,5406,8367,3158,6992,11808160
2023,9,1364,4491,6871,2749,5754,11950018
2023,10,1449,4823,7493,2822,6166,10664246
2023,11,1876,5682,8310,3325,6837,12160354
2023,12,2333,5400,7745,3039,6830,12154840
2024,1,1428,4465,6903,2633,5509,12402726
2024,2,1409,4832,6961,2869,5421,12041312
2024,3,1322,4458,6576,2948,5405,12583412
2024,4,1388,4690,6831,2888,5114,12597668
2024,5,1501,5383,7807,3073,5900,28278
2024,6,1350,4609,6928,2808,5310,24971
2024,7,1509,5194,7789,3058,5997,28065
